Date,Open,High,Low,Close,Adj Close,Volume
2022-06-06,75.0,85.0,74.0,83.0,83.0,395000.0
2022-06-07,83.0,87.0,79.0,82.0,82.0,650400.0
2022-06-08,82.0,83.0,79.0,83.0,83.0,105100.0
2022-06-09,83.0,86.0,80.0,82.0,82.0,665600.0
2022-06-10,82.0,83.0,80.0,81.0,81.0,47000.0
2022-06-11,82.0,83.0,80.0,81.0,81.0,47000.0
2022-06-12,82.0,83.0,80.0,81.0,81.0,47000.0
2022-06-13,81.0,82.0,78.0,81.0,81.0,57400.0
2022-06-14,81.0,81.0,76.0,78.0,78.0,171900.0
2022-06-15,78.0,81.0,73.0,78.0,78.0,363400.0
2022-06-16,75.0,78.0,75.0,77.0,77.0,130200.0
2022-06-17,77.0,77.0,77.0,77.0,77.0,2500.0
2022-06-18,77.0,77.0,77.0,77.0,77.0,2500.0
2022-06-19,77.0,77.0,77.0,77.0,77.0,2500.0
2022-06-20,77.0,77.0,76.0,76.0,76.0,9700.0
2022-06-21,76.0,81.0,75.0,79.0,79.0,80100.0
2022-06-22,79.0,82.0,76.0,82.0,82.0,73600.0
2022-06-23,80.0,80.0,77.0,80.0,80.0,102700.0
2022-06-24,80.0,83.0,75.0,77.0,77.0,71000.0
2022-06-25,80.0,83.0,75.0,77.0,77.0,71000.0
2022-06-26,80.0,83.0,75.0,77.0,77.0,71000.0
2022-06-27,77.0,82.0,75.0,77.0,77.0,270800.0
2022-06-28,76.0,80.0,76.0,80.0,80.0,25500.0
2022-06-29,79.0,79.0,76.0,78.0,78.0,19200.0
2022-06-30,78.0,80.0,78.0,78.0,78.0,7800.0
2022-07-01,77.0,77.0,77.0,77.0,77.0,8200.0
2022-07-02,77.0,77.0,77.0,77.0,77.0,8200.0
2022-07-03,77.0,77.0,77.0,77.0,77.0,8200.0
2022-07-04,75.0,79.0,75.0,77.0,77.0,15600.0
2022-07-05,77.0,77.0,77.0,77.0,77.0,12300.0
2022-07-06,77.0,78.0,72.0,78.0,78.0,97500.0
2022-07-07,77.0,78.0,75.0,78.0,78.0,44000.0
2022-07-08,77.0,78.0,75.0,76.0,76.0,19500.0
2022-07-09,77.0,78.0,75.0,76.0,76.0,19500.0
